bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-NDARINVAG388HJL_run-01_T1w	0.550676893939394	1.6888518393138519	0.5897	-1.0	4.167573507771741	4.076566504678468	4.602323630925838	3.823830387710916	0.2763158048993909	0.3771311211727284	0.34655307392788065	0.45182812213897705	0.22394618391990662	0.0	0.00038449753472322737	6.054717824118142	5.961138769803861	6.0630849743736785	144	192	192	2.1611065573362978	5.370118898249688	6.210140457895357	11.099195918100087	49.13068086288307	84.67460553652438	83.50193907971483	116.70053083973706	1.2000000476837158	1.1979166269302368	1.1979166269302368	8838.6781	0.0	1.9312	0.0	1718457.0	0.0	10.0	5.4005	-0.7773	143.0163	420.4195	405.0	237907.63180454733	135.0	729.0	187.4036	-0.612	83.0582	701.5032	698.0	324709.5183377814	486.0	950.0	129.9783	-0.5388	62.3205	937.4795	962.0	298381.85022672964	760.0	1040.0	86.6728	0.20993878765949106	0.5465130578391003	0.5552177573797707	0.8323417508423494
sub-NDARINVAG900RVD_run-01_T1w	0.6316453488372092	1.513851211620075	0.5693	12250.6456	4.421172261180927	4.4315164905740225	4.788179637090919	4.043820655877839	0.27407169883787863	0.3760622090952793	0.349866092066842	0.5653160810470581	0.26696524620056145	0.0	0.00041806758173197227	5.5516204037917385	5.435426935848121	5.531908729060837	144	192	192	2.077069606207159	5.077602455925771	5.498955969414262	9.342195846109858	21.75391751135966	39.61502873121286	38.58458000699056	54.38479377839915	1.2000000476837158	1.1979166269302368	1.1979166269302368	2521.5446	0.0	4.8071	0.0	1786078.0	0.0	16.0	11.444	-0.9204	147.9157	399.1276	380.0	257220.9487372583	135.0	712.0	182.9497	-0.3884	87.8749	695.2923	692.0	352940.7765116828	472.0	952.0	136.2846	0.0316	75.0896	920.0831	950.0	328355.27533130464	723.0	1044.0	101.689	0.2049662297838984	0.5605280934103124	0.5645122032162561	0.5981870144791356
sub-NDARINVAL101MH2_run-01_T1w	0.5990314516129032	1.5503583080601566	0.5516	26601.8629	4.060059452831049	4.003908174232317	4.4026352764758325	3.773634907784998	0.26968947562082635	0.37193907130869547	0.35837145307047813	0.426647424697876	0.1728424578905105	0.0	9.194235952647909e-05	6.295732367829965	6.194602367505067	6.290811681572633	144	192	192	2.0935175227646097	5.165983286654346	6.491251172523175	12.214252708150573	64.92943779030774	116.84044193844854	112.98915531930747	157.19758622916615	1.2000000476837158	1.1979166269302368	1.1979166269302368	561.1577	0.0	2.2061	0.0	1804983.0	0.0	10.0	4.0259	-0.9563	155.2222	410.8997	399.0	223724.41061742872	128.0	732.0	190.5879	-0.7102	89.6404	720.4658	718.0	308546.8920230485	490.0	977.0	138.9859	-0.4468	58.9194	946.6779	966.0	297291.6979268016	787.0	1045.0	79.0878	0.22968108287099812	0.5481846857632906	0.559065302866231	0.7347734424066232
sub-NDARINVAZ218MB7_run-01_T1w	0.5440370242214533	1.6794045148347314	0.5983	-1.0	4.247713432935307	4.084799837684638	4.743435287780605	3.914905173340679	0.27550443160712373	0.3768914218222972	0.34760414657057903	0.4926950931549072	0.23750343918800354	0.0	0.0005892772817732546	4.628744876028052	4.531569898783494	4.637781754445427	144	192	192	2.002960922268408	4.694113960687804	5.667819407191041	10.306383338616909	45.61782312204352	83.92191916745506	83.0955093282876	119.74678569536422	1.2000000476837158	1.1979166269302368	1.1979166269302368	516.7767	0.0	2.2454	0.0	1599491.0	0.0	11.0	5.285	-0.9802	150.8325	391.1902	368.0	308434.37448990013	137.0	702.0	183.7277	-0.6325	91.7465	681.1104	677.0	421939.7461676385	443.0	958.0	144.223	-0.5428	65.4802	935.8088	966.0	389151.8800339322	744.0	1043.0	93.7282	0.22114400343094529	0.546348159592372	0.5540045750550466	0.8107738087299073
sub-NDARINVBH217XFZ_run-01_T1w	0.7089008658008659	1.3929302673924318	0.6254	16558.7614	4.300947712802753	4.170866500931322	4.777068680200616	3.954907957276318	0.2697446779327559	0.3749697138355825	0.3552856082316617	0.6248089075088501	0.3650952756404876	0.0	0.0008620094370507114	5.472465605746588	5.3485813303669225	5.451516222650114	144	192	192	2.3228359196750192	5.319871456469907	5.562683466843836	9.045343024386582	15.53949954712196	25.590106652778406	25.09561183823196	34.15722931479552	1.2000000476837158	1.1979166269302368	1.1979166269302368	1922.8462	0.0	4.0149	0.0	1588669.0	0.0	16.0	17.6648	-0.8309	133.9362	427.5904	419.0	256289.54372990527	153.0	725.0	180.3826	-0.7397	85.031	692.8317	690.0	356265.84964694415	482.0	929.0	129.7022	-0.4317	78.7251	899.6275	921.0	337563.60690902534	710.0	1038.0	101.8202	0.22749408765330925	0.5607115259172937	0.5723740589087614	0.5908566901974179
sub-NDARINVBY805EE5_run-01_T1w	0.5812516728624535	1.6230684392448134	0.6181	26812.0975	4.172367298424567	4.149674835106737	4.537753194001345	3.829673866165621	0.2693091691957936	0.3775536090127934	0.35313722179141305	0.5031824111938477	0.2255955934524536	0.0	0.001448307939465258	5.228708906242165	5.136486528785923	5.249062659639465	144	192	192	2.3180399891035353	5.115729352104574	6.239036431354909	11.283339952856617	6.931600243669644	11.245673122596905	11.256444840147287	15.592061154175306	1.2000000476837158	1.1979166269302368	1.1979166269302368	353.5636	0.0	4.9297	0.0	1660618.0	0.0	12.0	40.5467	-0.9226	140.7997	439.0639	429.0	267181.89621979045	164.0	740.0	185.0698	-0.7217	92.7544	700.228	696.0	374571.31326755846	481.0	956.0	136.0508	-0.2199	63.6023	944.0262	965.0	350347.79107510665	774.0	1052.0	85.5242	0.23260020940252585	0.5520652056931385	0.5567402318293457	0.7336095000533437
sub-NDARINVBZ622PEX_run-01_T1w	0.5387289655172414	1.888680334414893	0.5368	17449.892	4.318105669676743	4.179791500576675	4.770039810402242	4.00448569805131	0.276421094248966	0.3800214836261967	0.34355742212483736	0.45557522773742676	0.16962766647338867	0.0	0.0005948190270739424	6.3627862754959805	6.286127861417397	6.382469775842868	144	192	192	1.823512551487795	5.266394080219078	6.260441184914125	11.691416923035503	52.26200109277674	97.36482395366627	96.17162758168506	138.8880576986122	1.2000000476837158	1.1979166269302368	1.1979166269302368	6.5015	0.0	3.2178	0.0	1857298.0	0.0	12.0	4.5755	-1.0557	157.1687	375.6325	365.0	226930.9381950401	70.0	707.0	200.1627	-0.7609	94.7801	683.6576	680.0	311982.81754825404	473.0	923.0	129.1204	-0.5418	61.4513	947.2994	970.0	282047.2451224674	778.0	1047.0	82.9667	0.20729431269204585	0.553940430468101	0.5577900715512927	0.7510979672793704
sub-NDARINVCA042YER_run-01_T1w	0.654389387755102	1.4434188293581214	0.5895	17565.1929	3.8122404913140193	3.6724165207379453	4.226446053240106	3.537858899964006	0.2706135558608723	0.3705035548691783	0.3588828892699494	0.4950551986694336	0.1879543602466583	0.0	0.0004319735796611497	6.2694047654213865	6.158942719603478	6.264541590041593	144	192	192	2.2282143405912294	4.886493827643743	6.083425143648314	11.135567262709971	41.04665390333444	70.96201183288326	69.10679583725233	95.31172177553931	1.2000000476837158	1.1979166269302368	1.1979166269302368	6.8234	0.0	4.2966	0.0	1761501.0	0.0	18.0	6.5918	-0.7151	141.4449	423.8584	413.0	225040.33890070714	138.0	736.0	185.3498	-0.6959	92.3113	713.0797	714.0	308108.162898325	468.0	977.0	146.1168	-0.5909	68.0141	938.3744	959.0	298444.4987245807	769.0	1048.0	86.1203	0.2235518440875741	0.5418119127773809	0.5531884437536979	0.6754100524137019
sub-NDARINVCM621YRY_run-01_T1w	0.555254255319149	1.7367021055293062	0.5704	-1.0	4.446075703915505	4.337083160993132	4.81373233359071	4.187411617162675	0.27380289922537226	0.37580427862433113	0.3503928221502965	0.4866526424884796	0.2003099858760834	0.0	0.0007869640191519809	6.167696630390893	6.079691601949904	6.173163349926609	144	192	192	1.8474788749850397	4.91939498490009	6.169237301227	11.74083804379587	31.55841634483617	62.30066674971969	60.577649765375185	87.87386620156968	1.2000000476837158	1.1979166269302368	1.1979166269302368	2721.3414	0.0	2.4143	0.0	1790870.0	0.0	10.0	7.2243	-0.9983	152.4753	371.5747	348.0	231938.16237156518	104.0	698.0	188.3644	-0.7229	95.4708	691.7889	687.0	318343.4289486952	461.0	956.0	139.6511	-0.4854	61.1109	946.0405	969.0	296817.4095586622	779.0	1045.0	82.5323	0.21309309322005798	0.5563482805172343	0.5631727001327889	0.7319103315636352
sub-NDARINVCW125BLA_run-01_T1w	0.5788011904761905	1.708335557097907	0.5566	-1.0	4.198501007498484	4.030633173170361	4.722073200115476	3.842796649209616	0.2702912157142952	0.38059788502137176	0.3491108992643331	0.5267555117607117	0.24860333800315854	0.0	0.0003937882838122564	5.789069503839283	5.695080685292056	5.796183622122285	144	192	192	2.2524590904792596	6.019571488361449	6.318917451283471	10.684721775009704	64.53065638718412	100.87386419726121	100.77847520038438	136.93090501670778	1.2000000476837158	1.1979166269302368	1.1979166269302368	6.1688	0.0	2.4913	0.0	1837443.0	0.0	12.0	4.5787	-0.4049	140.4446	453.8394	451.0	242965.3145165291	138.0	767.0	200.2252	-0.6919	81.9032	710.9172	705.0	342120.2002224473	525.0	934.0	117.1178	-0.174	63.9547	933.3156	957.0	313816.4857365023	755.0	1045.0	89.567	0.22239070101158429	0.5579223722102111	0.5575434778215882	0.6333689312408293
